State,Area_Name,Age,Total_Population,Total_Males,Total_Females,Rural_Persons  ,Rural_Males,Rural_Females,Urban_Persons  ,Urban_Males,Urban_Females,Age_Category,Gender_Ratio,Urban_Percentage,Rural_Percentage
28,State - ANDHRA PRADESH (28),14,1613041,831446,781595,1094685,565959,528726,518356,265487,252869,Age-wise,94.00430094,32.135327,67.864673
28,State - ANDHRA PRADESH (28),15,1652368,861559,790809,1104994,578647,526347,547374,282912,264462,Age-wise,91.78814219,33.12664007,66.87335993
28,State - ANDHRA PRADESH (28),16,1576131,824000,752131,1031865,544177,487688,544266,279823,264443,Age-wise,91.27803398,34.53177433,65.46822567
28,State - ANDHRA PRADESH (28),17,1466112,780993,685119,942837,510581,432256,523275,270412,252863,Age-wise,87.72408972,35.69133872,64.30866128
28,State - ANDHRA PRADESH (28),18,1877103,960859,916244,1270200,659517,610683,606903,301342,305561,Age-wise,95.3567589,32.33189654,67.66810346
28,State - ANDHRA PRADESH (28),19,1522033,768896,753137,984173,507071,477102,537860,261825,276035,Age-wise,97.95043803,35.33826139,64.66173861
28,State - ANDHRA PRADESH (28),20,2179306,1045844,1133462,1488931,724575,764356,690375,321269,369106,Age-wise,108.3777313,31.67866284,68.32133716
28,State - ANDHRA PRADESH (28),21,1397179,714024,683155,872508,459819,412689,524671,254205,270466,Age-wise,95.67675596,37.55216762,62.44783238
28,State - ANDHRA PRADESH (28),22,1636241,823250,812991,1066231,550716,515515,570010,272534,297476,Age-wise,98.75384148,34.83655525,65.16344475
28,State - ANDHRA PRADESH (28),23,1416185,728178,688007,892299,471114,421185,523886,257064,266822,Age-wise,94.48335434,36.99276578,63.00723422
28,State - ANDHRA PRADESH (28),24,1503183,744401,758782,943308,476446,466862,559875,267955,291920,Age-wise,101.9318889,37.24596406,62.75403594
28,State - ANDHRA PRADESH (28),25,2302932,1093110,1209822,1566955,752957,813998,735977,340153,395824,Age-wise,110.677059,31.95826017,68.04173983
28,State - ANDHRA PRADESH (28),26,1473069,731964,741105,928033,467285,460748,545036,264679,280357,Age-wise,101.2488319,37.00003191,62.99996809
28,State - ANDHRA PRADESH (28),27,1232153,627589,604564,746879,385554,361325,485274,242035,243239,Age-wise,96.33119765,39.38423232,60.61576768
28,State - ANDHRA PRADESH (28),28,1628758,780522,848236,1051558,501132,550426,577200,279390,297810,Age-wise,108.6754762,35.43804543,64.56195457
28,State - ANDHRA PRADESH (28),29,1162124,576702,585422,702156,346214,355942,459968,230488,229480,Age-wise,101.5120461,39.57994156,60.42005844
28,State - ANDHRA PRADESH (28),30,2483935,1225543,1258392,1707442,839539,867903,776493,386004,390489,Age-wise,102.6803629,31.26060062,68.73939938
28,State - ANDHRA PRADESH (28),31,964372,498167,466205,567321,292069,275252,397051,206098,190953,Age-wise,93.58407923,41.17197513,58.82802487
28,State - ANDHRA PRADESH (28),32,1222481,614364,608117,785084,390934,394150,437397,223430,213967,Age-wise,98.9831761,35.77945179,64.22054821
28,State - ANDHRA PRADESH (28),33,860328,437627,422701,521806,263365,258441,338522,174262,164260,Age-wise,96.58933293,39.34801611,60.65198389
28,State - ANDHRA PRADESH (28),34,1053255,524706,528549,651966,321008,330958,401289,203698,197591,Age-wise,100.7324101,38.09989034,61.90010966
28,State - ANDHRA PRADESH (28),35,2384711,1173447,1211264,1645791,807832,837959,738920,365615,373305,Age-wise,103.2227276,30.98572531,69.01427469
